Accident_ID,Accident_Description,Police_Station,Investigation_Status,Reported_By,Insurance_Claim,Claim_Amount,Fault,Injured_Person_Name,Contact_Info,Vehicle_Damage,Repair_Cost,Legal_Proceedings,Lawyer_Involved,Lawyer_Fee
1,Description_1,Station_1,Completed,Passenger,True,8627,Other driver,Person_1,Contact_1,No damage,4921,True,True,2773
2,Description_2,Station_2,Pending,Witness,True,9456,Driver,Person_2,Contact_2,No damage,2973,False,False,1810
3,Description_3,Station_3,Completed,Witness,False,2672,Other driver,Person_3,Contact_3,Minor,538,False,True,2866
4,Description_4,Station_4,Completed,Witness,False,4647,Road conditions,Person_4,Contact_4,No damage,4328,False,True,1055
5,Description_5,Station_5,Pending,Passenger,True,7388,Other driver,Person_5,Contact_5,Minor,529,False,False,1163
6,Description_6,Station_6,Pending,Driver,True,9620,Driver,Person_6,Contact_6,No damage,2708,False,False,4985
7,Description_7,Station_7,Pending,Witness,False,4162,Road conditions,Person_7,Contact_7,Minor,1115,True,False,4870
8,Description_8,Station_8,Completed,Driver,True,3910,Road conditions,Person_8,Contact_8,Major,2856,True,False,3536
9,Description_9,Station_9,Completed,Witness,False,9645,Other driver,Person_9,Contact_9,No damage,2681,False,True,3055
10,Description_10,Station_10,Completed,Driver,True,9540,Other driver,Person_10,Contact_10,Minor,3113,True,False,3659
11,Description_11,Station_11,Pending,Witness,False,9613,Road conditions,Person_11,Contact_11,Major,4523,True,True,1146
12,Description_12,Station_12,Pending,Driver,False,7633,Other driver,Person_12,Contact_12,Minor,4631,True,True,2429
13,Description_13,Station_13,Completed,Witness,False,1581,Other driver,Person_13,Contact_13,Minor,2166,False,True,3113
14,Description_14,Station_14,Pending,Witness,True,3662,Other driver,Person_14,Contact_14,Minor,579,False,False,3186
15,Description_15,Station_15,Completed,Driver,True,6352,Driver,Person_15,Contact_15,Minor,4507,True,False,1194
16,Description_16,Station_16,Completed,Driver,True,5258,Driver,Person_16,Contact_16,Minor,1657,False,False,3336
17,Description_17,Station_17,Pending,Passenger,True,7923,Road conditions,Person_17,Contact_17,No damage,2240,False,False,1457
18,Description_18,Station_18,Pending,Passenger,False,7828,Road conditions,Person_18,Contact_18,Major,4860,True,True,3868
19,Description_19,Station_19,Completed,Passenger,False,2324,Road conditions,Person_19,Contact_19,Major,4828,True,False,1428
20,Description_20,Station_20,Pending,Passenger,True,1100,Other driver,Person_20,Contact_20,Major,946,True,True,1194
21,Description_21,Station_21,Pending,Driver,True,1415,Other driver,Person_21,Contact_21,No damage,1551,True,True,2658
22,Description_22,Station_22,Pending,Passenger,False,6059,Other driver,Person_22,Contact_22,Minor,2093,False,True,1294
23,Description_23,Station_23,Pending,Witness,False,2043,Road conditions,Person_23,Contact_23,No damage,1478,True,True,4832
24,Description_24,Station_24,Pending,Driver,True,2746,Road conditions,Person_24,Contact_24,Minor,528,False,True,4492
25,Description_25,Station_25,Pending,Witness,True,5491,Driver,Person_25,Contact_25,No damage,2386,True,True,3657
26,Description_26,Station_26,Completed,Passenger,True,8657,Other driver,Person_26,Contact_26,Major,2924,True,False,3097
27,Description_27,Station_27,Pending,Passenger,False,5443,Other driver,Person_27,Contact_27,No damage,2473,False,True,4867
28,Description_28,Station_28,Completed,Passenger,False,5860,Driver,Person_28,Contact_28,Minor,3884,True,True,4341
29,Description_29,Station_29,Completed,Driver,False,5170,Road conditions,Person_29,Contact_29,Major,532,True,False,1819
30,Description_30,Station_30,Completed,Witness,False,5148,Road conditions,Person_30,Contact_30,Major,1119,True,True,3425
31,Description_31,Station_31,Pending,Witness,True,8453,Road conditions,Person_31,Contact_31,Minor,3447,True,True,2627
32,Description_32,Station_32,Completed,Driver,False,7209,Other driver,Person_32,Contact_32,Minor,1795,True,False,4613
33,Description_33,Station_33,Pending,Passenger,True,1037,Driver,Person_33,Contact_33,No damage,3048,True,True,1157
34,Description_34,Station_34,Completed,Passenger,False,9957,Driver,Person_34,Contact_34,Minor,1398,True,False,1120
35,Description_35,Station_35,Completed,Driver,True,5806,Road conditions,Person_35,Contact_35,Minor,3404,False,False,3714
36,Description_36,Station_36,Completed,Witness,True,5843,Other driver,Person_36,Contact_36,Minor,4164,True,True,3625
37,Description_37,Station_37,Pending,Witness,False,1115,Driver,Person_37,Contact_37,Major,2441,False,False,1100
38,Description_38,Station_38,Completed,Witness,True,8764,Other driver,Person_38,Contact_38,Minor,3653,True,False,2356
39,Description_39,Station_39,Completed,Witness,True,1278,Road conditions,Person_39,Contact_39,Major,3155,False,True,2318
40,Description_40,Station_40,Pending,Passenger,False,1453,Road conditions,Person_40,Contact_40,Major,3717,False,False,2449
41,Description_41,Station_41,Completed,Passenger,True,4213,Driver,Person_41,Contact_41,Major,4325,False,False,3843
42,Description_42,Station_42,Completed,Driver,False,5703,Road conditions,Person_42,Contact_42,Minor,4492,True,True,4155
43,Description_43,Station_43,Completed,Driver,False,5464,Driver,Person_43,Contact_43,Minor,3227,True,False,3878
44,Description_44,Station_44,Completed,Driver,False,1300,Road conditions,Person_44,Contact_44,Major,3743,False,True,1870
45,Description_45,Station_45,Completed,Passenger,True,9908,Driver,Person_45,Contact_45,No damage,2082,False,True,3102
46,Description_46,Station_46,Completed,Passenger,True,7042,Road conditions,Person_46,Contact_46,No damage,2844,True,True,1241
47,Description_47,Station_47,Pending,Passenger,False,6066,Road conditions,Person_47,Contact_47,No damage,3254,False,True,3193
48,Description_48,Station_48,Completed,Driver,False,1194,Other driver,Person_48,Contact_48,Minor,4594,False,False,2697
49,Description_49,Station_49,Pending,Passenger,True,2328,Other driver,Person_49,Contact_49,Major,829,True,True,1696
50,Description_50,Station_50,Pending,Witness,False,7393,Road conditions,Person_50,Contact_50,Minor,4004,False,True,3415
51,Description_51,Station_51,Pending,Passenger,False,5353,Driver,Person_51,Contact_51,Major,514,False,False,2196
52,Description_52,Station_52,Pending,Witness,False,8133,Road conditions,Person_52,Contact_52,No damage,2763,False,True,2616
53,Description_53,Station_53,Completed,Witness,True,8388,Other driver,Person_53,Contact_53,Minor,2224,False,True,2957
54,Description_54,Station_54,Completed,Witness,True,2557,Driver,Person_54,Contact_54,No damage,4925,True,True,3966
55,Description_55,Station_55,Pending,Passenger,True,6976,Road conditions,Person_55,Contact_55,Major,3111,True,True,4102
56,Description_56,Station_56,Pending,Driver,False,8529,Road conditions,Person_56,Contact_56,No damage,1582,False,True,2416
57,Description_57,Station_57,Completed,Witness,False,4124,Other driver,Person_57,Contact_57,Major,4569,True,True,3850
58,Description_58,Station_58,Completed,Witness,False,5882,Driver,Person_58,Contact_58,Minor,4890,False,True,2432
59,Description_59,Station_59,Completed,Passenger,False,8119,Driver,Person_59,Contact_59,Minor,4389,True,True,3726
60,Description_60,Station_60,Pending,Passenger,True,9720,Driver,Person_60,Contact_60,No damage,3919,True,False,2949
61,Description_61,Station_61,Pending,Witness,True,9689,Road conditions,Person_61,Contact_61,Minor,4956,True,False,1260
62,Description_62,Station_62,Pending,Driver,False,7782,Other driver,Person_62,Contact_62,Major,2289,True,True,1667
